Newtv,#genre#
Newtv动作电影,http://112.17.40.140/PLTV/88888888/224/3221226747/index.m3u8
Newtv惊悚悬疑,http://112.17.40.140/PLTV/88888888/224/3221226656/index.m3u8
Newtv明星大片,http://112.17.40.140/PLTV/88888888/224/3221226751/index.m3u8
Newtv家庭剧场,http://112.17.40.140/PLTV/88888888/224/3221226642/index.m3u8
Newtv精品大剧,http://112.17.40.140/PLTV/88888888/224/3221226668/index.m3u8
Newtv古装剧场,http://112.17.40.140/PLTV/88888888/224/3221226753/index.m3u8
Newtv爱情喜剧,http://112.17.40.140/PLTV/88888888/224/3221226660/index.m3u8
Newtv军旅剧场,http://112.17.40.140/PLTV/88888888/224/3221226682/index.m3u8
Newtv军事评论,http://112.17.40.140/PLTV/88888888/224/3221226658/index.m3u8
Newtv金牌综艺,http://112.17.40.140/PLTV/88888888/224/3221226749/index.m3u8
Newtv精品体育,http://112.17.40.140/PLTV/88888888/224/3221226819/index.m3u8
Newtv精品记录,http://112.17.40.140/PLTV/88888888/224/3221226763/index.m3u8
个人电影,#genre#
全新片单,http://tx2play1.douyucdn.cn/live/3637778raLSXdOdu.flv?uuid=
卫国无敌,http://tx2play1.douyucdn.cn/live/8479500r4dd2yKiK.flv?uuid=
刘华强,https://tx.hls.huya.com/src/1524418094-1524418094-6547325859160653824-3048959644-10057-A-0-1-imgplus.m3u8?wsSecret=035c4a5903065817cfa8bc56c66da004&wsTime=5ff87874&u=0&seqid=16100328838729442&ctype=tars_mobile&txyp=o%3An6%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*&t=103
星星,https://al.hls.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1-imgplus.m3u8?wsSecret=e9c3bdc2923c8c7d072c51e903825d4c&wsTime=5ff84830&u=0&seqid=16100205291692956&ctype=tars_mobile&txyp=o%3An111%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=103
林正英,https://al.hls.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1-imgplus.m3u8?wsSecret=db2a277557e7b5dd4ca2a3477d2e7714&wsTime=5ff8164c&u=0&seqid=16100077798193824&ctype=tars_mobile&txyp=o%3An9%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=103
乡村爱情,http://tx2play1.douyucdn.cn/live/9356342rnOBIQ3KT.flv?uuid=
甄子丹,http://tx2play1.douyucdn.cn/live/7305938rGTB5Eo19.flv?uuid=
雍一正,http://tx2play1.douyucdn.cn/live/7672838riA9zSoow.flv?uuid=
科幻电影,http://tx2play1.douyucdn.cn/live/6537888rW0Ue1leC.flv?uuid=
甄子丹,https://tx.hls.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1-imgplus.m3u8?wsSecret=2dcec6a5cbf64def4ef38f7efc71b521&wsTime=5ff84608&u=0&seqid=16100199978589062&ctype=tars_mobile&txyp=o%3An9%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=103
港式恐怖,http://tx2play1.douyucdn.cn/live/3637726rQLDdfto7.flv?uuid=
盗墓系列,https://tx.hls.huya.com/src/1423782085-1423782085-6115097491705692160-2847687626-10057-A-0-1.m3u8?wsSecret=040c87928f739d3cd438d4120dcdb386&wsTime=5f7f407a&u=0&seqid=16020887004301216&ctype=tars_mobile&txyp=o%3Acs6%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*&t=103
鬼片僵尸,http://tx2play1.douyucdn.cn/live/310926reVKlcmaJ0.flv?uuid=
香港赌片,http://tx2play1.douyucdn.cn/live/315457r0LsXadyku.flv?uuid=
吴京,https://al.hls.huya.com/src/1524434090-1524434090-6547394561457520640-3048991636-10057-A-0-1-imgplus.m3u8?wsSecret=f5448f39556c3d6a177bc37000fb06bc&wsTime=5ff879d3&u=0&seqid=16100332380802038&ctype=tars_mobile&txyp=o%3An6%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=103
阿斗归来蓝光,http://aldirect.rtmp.huya.com/backsrc/94525224-2583571962-11096357083652554752-3503038830-10057-A-0-1.m3u8
相声小品,https://www.huya.com/11336593
恐怖片赏析,http://tx2play1.douyucdn.cn/live/9393577rbVcKn77K.flv?uuid=
恐怖片赏析,http://tx2play1.douyucdn.cn/live/9280384rRyDCvThW.flv?uuid=
黑帮大片,https://www.huya.com/11336719
周润发,https://al.hls.huya.com/src/1394565192-1394565192-5989611891779960832-2789253840-10057-A-0-1-imgplus.m3u8?wsSecret=af544bc150e56fe247ec5817150e7960&wsTime=5ff81a98&u=0&seqid=16100088675652900&ctype=tars_mobile&txyp=o%3Ad2%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=103
黑帮,https://tx.hls.huya.com/src/1394575541-1394575541-5989656340396507136-2789274538-10057-A-0-1.m3u8?wsSecret=4851ca8a5400972a006da8b2661637f5&wsTime=5ff81ad6&u=0&seqid=16100089463067936&ctype=tars_mobile&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*&t=103
徐峥,https://www.huya.com/11602043
插翅难逃,https://www.huya.com/11352940
联通源,#genre#
CCTV中国中央电视台-1 综合,http://117.148.187.37/PLTV/88888888/224/3221226154/index.m3u8
CCTV中国中央电视台-1 综合,http://117.169.120.140:8080/live/cctv-1/.m3u8
CCTV中国中央电视台-1 综合,http://121.31.30.90:8085/ysten-business/live/cctv-1/1.m3u8
CCTV中国中央电视台-1 综合,http://125.210.152.10:8060/live/CCTV1HD_H265.m3u8
CCTV中国中央电视台-1 综合,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV中国中央电视台-10 科教,http://117.169.120.140:8080/live/cctv-10/.m3u8
